full_name,age,birthday_GMT,league,season,position,Current Club,minutes_played_overall,nationality,goals_overall,assists_overall,market_value_in_eur
Emiliano Martínez,30,1992/09/02,Premier League,2018/2019,Goalkeeper,Arsenal,0,Argentina,0,0,2000000.0
Eric Bailly,28,1994/04/12,Premier League,2018/2019,Defender,Manchester United,637,Ivory Coast,0,0,25000000.0
Eric Dier,28,1994/01/15,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1510,England,3,0,40000000.0
Erik Durm,30,1992/05/12,Premier League,2018/2019,Defender,Huddersfield Town,2052,Germany,0,1,2000000.0
Erik Lamela,30,1992/03/04,Premier League,2018/2019,Midfielder,Tottenham Hotspur,971,Argentina,4,2,18000000.0
Ethan Ampadu,22,2000/09/14,Premier League,2018/2019,Midfielder,Chelsea,0,Wales,0,0,10000000.0
Étienne Capoue,34,1988/07/11,Premier League,2018/2019,Midfielder,Watford,2947,France,1,3,8000000.0
Fabián Balbuena,31,1991/08/23,Premier League,2018/2019,Defender,West Ham United,2014,Paraguay,1,0,12000000.0
Fabian Delph,32,1989/11/21,Premier League,2018/2019,Midfielder,Manchester City,725,England,0,1,15000000.0
Fabian Schär,30,1991/12/20,Premier League,2018/2019,Defender,Newcastle United,2002,Switzerland,4,1,8000000.0
Fabinho,29,1993/10/23,Premier League,2018/2019,Midfielder,Liverpool,2013,Brazil,1,2,50000000.0
